,Unnamed: 0,# of alphabetic,# of digits,# of numbers,% constraining,% litigious,% modal moderate,% modal strong,% modal-weak,% negative,% positive,% uncertainty,average word length,avg # of syllables per word,cik,co_conm,co_tic,company name,conformed period of report,date as of change,excess_return,file name,file size,filed as of date,number of words,vocabulary
0,0,392978,11113,3737,0,0,0,0,0,1.644240721573266,4.882448617477451,0,4.687357681502292,0,1103982,MONDELEZ INTERNATIONAL INC,mdlz,KRAFT FOODS INC,20091231,20100225,-0.002216001851964995,../Data/filtered_textdata/2010/QTR1/20100225_10-K_edgar_data_1103982_0001193125-10-040106_1.txt,521909,2010-02-25,33815,1117
1,1,499080,11629,4300,0,0,0,0,0,2.221687905746573,4.907429670593894,0,4.945804279874969,0,18230,CATERPILLAR INC,cat,CATERPILLAR INC,20091231,20100219,-0.0280760905219036,../Data/filtered_textdata/2010/QTR1/20100219_10-K_edgar_data_18230_0000018230-10-000092_1.txt,679447,2010-02-19,41590,1241
2,2,382849,8883,3412,0,0,0,0,0,2.02315624434662,4.833262980160405,0,4.84686124344208,0,104169,WALMART INC,wmt,WAL MART STORES INC,20100131,20100330,-0.01322134776082017,../Data/filtered_textdata/2010/QTR1/20100330_10-K_edgar_data_104169_0001193125-10-071652_1.txt,497672,2010-03-30,33166,1115
3,3,425869,12871,4201,0,0,0,0,0,2.195052601649133,5.422234859255047,0,4.834489621836792,0,66740,3M CO,mmm,3M CO,20091231,20100216,0.01382832084465005,../Data/filtered_textdata/2010/QTR1/20100216_10-K_edgar_data_66740_0001104659-10-007295_1.txt,547681,2010-02-16,35170,1203
4,4,371730,9252,3048,0,0,0,0,0,2.170850409836066,4.88921618852459,0,4.62413550204918,0,50863,INTEL CORP,intc,INTEL CORP,20091226,20100222,-0.01724699016289764,../Data/filtered_textdata/2010/QTR1/20100222_10-K_edgar_data_50863_0000950123-10-015237_1.txt,497412,2010-02-22,31232,1088
5,5,155830,6055,2018,0,0,0,0,0,1.55420773313116,5.511751326762699,0,4.739044730856709,0,354950,HOME DEPOT INC,hd,HOME DEPOT INC,20100131,20100325,-0.003537522832439091,../Data/filtered_textdata/2010/QTR1/20100325_10-K_edgar_data_354950_0001193125-10-067178_1.txt,207048,2010-03-25,13190,806
6,6,2003823,32921,13275,0,0,0,0,0,1.83432540778125,4.904970679506576,0,4.725221146094466,0,70858,BANK OF AMERICA CORP,bac,BANK OF AMERICA CORP /DE/,20091231,20100226,-0.02263357266541475,../Data/filtered_textdata/2010/QTR1/20100226_10-K_edgar_data_70858_0001193125-10-041666_1.txt,2623089,2010-02-26,181102,1689
7,7,434244,11161,3785,0,0,0,0,0,1.673822074887234,5.02690071191783,0,5.012716700179338,0,101829,RAYTHEON TECHNOLOGIES CORP,rtx,UNITED TECHNOLOGIES CORP /DE/,20091231,20100211,0.01029472427504813,../Data/filtered_textdata/2010/QTR1/20100211_10-K_edgar_data_101829_0001193125-10-027861_1.txt,562664,2010-02-11,36802,1051
8,8,316093,8393,2894,0,0,0,0,0,1.416109220357548,5.112858428197003,0,4.975159410084887,0,34088,EXXON MOBIL CORP,xom,EXXON MOBIL CORP,20091231,20100526,0.0009124572620244726,../Data/filtered_textdata/2010/QTR1/20100226_10-K_edgar_data_34088_0001193125-10-042929_1.txt,421751,2010-02-26,25563,1121
9,9,588311,16437,5658,0,0,0,0,0,1.468202465931213,4.767602206359506,0,4.824038773523687,0,51143,INTL BUSINESS MACHINES CORP,ibm,INTERNATIONAL BUSINESS MACHINES CORP,20091231,20100223,-0.0001606062450548347,../Data/filtered_textdata/2010/QTR1/20100223_10-K_edgar_data_51143_0001047469-10-001151_1.txt,762948,2010-02-23,49312,1219
10,10,359662,9651,3139,0,0,0,0,0,1.544243252476939,5.729415784079263,0,4.749231294841135,0,732712,VERIZON COMMUNICATIONS INC,vz,VERIZON COMMUNICATIONS INC,20091231,20100226,0.001208427466082713,../Data/filtered_textdata/2010/QTR1/20100226_10-K_edgar_data_732712_0001193125-10-041685_1.txt,461403,2010-02-26,29270,1127
11,11,197397,5886,1968,0,0,0,0,0,1.659027822606675,5.435414111419535,0,4.745336001549287,0,63908,MCDONALD'S CORP,mcd,MCDONALDS CORP,20091231,20100226,-0.009132339522882088,../Data/filtered_textdata/2010/QTR1/20100226_10-K_edgar_data_63908_0001193125-10-042025_1.txt,259790,2010-02-26,15491,874
12,12,299454,9589,3212,0,0,0,0,0,2.239359947212141,5.084955460244144,0,4.835821511052458,0,12927,BOEING CO,ba,BOEING CO,20091231,20100208,0.0399040832920869,../Data/filtered_textdata/2010/QTR1/20100208_10-K_edgar_data_12927_0001193125-10-024406_1.txt,394742,2010-02-08,24248,1153
13,13,894491,19990,6966,0,0,0,0,0,2.205703318580902,5.09316948108681,0,4.681648261934432,0,19617,JPMORGAN CHASE & CO,jpm,J P MORGAN CHASE & CO,20091231,20100224,0.01802596590453999,../Data/filtered_textdata/2010/QTR1/20100224_10-K_edgar_data_19617_0000950123-10-016029_1.txt,1133725,2010-02-24,69819,1404
14,14,1163807,21359,7593,0,0,0,0,0,2.024471186338097,6.154109969032753,0,4.633850126592495,0,40545,GENERAL ELECTRIC CO,ge,GENERAL ELECTRIC CO,20091231,20100219,-0.008777719810764913,../Data/filtered_textdata/2010/QTR1/20100219_10-K_edgar_data_40545_0000040545-10-000010_1.txt,1490499,2010-02-19,99137,1516
15,15,821727,16797,5797,0,0,0,0,0,3.844632313079662,5.800647609558834,0,4.816764589529824,0,86312,TRAVELERS COS INC,trv,"TRAVELERS COMPANIES, INC.",20091231,20100218,-0.01291257567476439,../Data/filtered_textdata/2010/QTR1/20100218_10-K_edgar_data_86312_0001047469-10-000972_1.txt,1056541,2010-02-18,68251,1353
16,16,594288,11936,4178,0,0,0,0,0,2.025646598565529,5.296674635948706,0,4.732905890023908,0,4962,AMERICAN EXPRESS CO,axp,AMERICAN EXPRESS CO,20091231,20100225,-0.003326857236653336,../Data/filtered_textdata/2010/QTR1/20100226_10-K_edgar_data_4962_0001193125-10-041232_1.txt,763286,2010-02-26,46010,1362
17,17,1004734,23784,8362,0,0,0,0,0,2.199315924027877,5.3850553914759,0,4.820295810326511,0,310158,MERCK & CO,mrk,MERCK & CO. INC.,20091231,20100301,-0.009175217295717141,../Data/filtered_textdata/2010/QTR1/20100301_10-K_edgar_data_310158_0000950123-10-018679_1.txt,1330086,2010-03-01,85663,1513
18,18,536260,10820,3519,0,0,0,0,0,2.247165635304214,5.253173133384525,0,4.723609919147206,0,78003,PFIZER INC,pfe,PFIZER INC,20091231,20100226,-0.01887306889723345,../Data/filtered_textdata/2010/QTR1/20100226_10-K_edgar_data_78003_0001193125-10-042425_1.txt,699568,2010-02-26,44278,1384
19,19,380049,13163,4327,0,0,0,0,0,1.960036849963468,4.228215635820706,0,4.662473394961721,0,93410,CHEVRON CORP,cvx,CHEVRON CORP,20091231,20100225,0.01095957472494197,../Data/filtered_textdata/2010/QTR1/20100225_10-K_edgar_data_93410_0000950123-10-016846_1.txt,499206,2010-02-25,31479,1166
20,20,760886,12957,4603,0,0,0,0,0,1.657602031247746,4.920870782059236,0,4.752888901712423,0,732717,AT&T INC,t,AT&T INC.,20100225,20100225,-0.001249778621108266,../Data/filtered_textdata/2010/QTR1/20100225_10-K_edgar_data_732717_0000732717-10-000013_1.txt,979122,2010-02-25,69317,1322
21,21,216852,6911,2339,0,0,0,0,0,1.913370113863129,4.636694447705128,0,4.807136987909379,0,200406,JOHNSON & JOHNSON,jnj,JOHNSON & JOHNSON,20100103,20100301,-0.002845293741756386,../Data/filtered_textdata/2010/QTR1/20100301_10-K_edgar_data_200406_0000950123-10-019392_1.txt,283495,2010-03-01,17038,909
22,22,488128,11898,4297,0,0,0,0,0,1.854095976732913,5.058167716917112,0,4.716359670382936,0,21344,COCA-COLA CO,ko,COCA COLA CO,20091231,20100226,0.01701121893769095,../Data/filtered_textdata/2010/QTR1/20100226_10-K_edgar_data_21344_0001047469-10-001476_1.txt,628859,2010-02-26,41260,1228
23,23,752165,12709,4481,0,0,0,0,0,1.625710590429212,5.353866514271964,0,4.61118296387644,0,858877,CISCO SYSTEMS INC,csco,CISCO SYSTEMS INC,20100731,20100921,0.01490012378049286,../Data/filtered_textdata/2010/QTR3/20100921_10-K_edgar_data_858877_0001193125-10-213400_1.txt,973589,2010-09-21,66494,1253
24,24,304039,6474,2275,0,0,0,0,0,2.325674646136573,6.419663980111473,0,4.754881911864952,0,789019,MICROSOFT CORP,msft,MICROSOFT CORP,20100630,20100730,-0.008785402930682699,../Data/filtered_textdata/2010/QTR3/20100730_10-K_edgar_data_789019_0001193125-10-171791_1.txt,390648,2010-07-30,24939,1067
25,25,295885,5797,2153,0,0,0,0,0,1.779344496202107,6.16895379579504,0,4.768601284149566,0,80424,PROCTER & GAMBLE CO,pg,PROCTER & GAMBLE CO,20100630,20100813,0.009746006727921197,../Data/filtered_textdata/2010/QTR3/20100813_10-K_edgar_data_80424_0001193125-10-188769_1.txt,385967,2010-08-13,23829,1132
26,26,576978,9971,3535,0,0,0,0,0,2.136900981376386,5.140445409658055,0,4.715441824253722,0,47217,HP INC,hpq,HEWLETT PACKARD CO,20101031,20110518,0.01020014124018299,../Data/filtered_textdata/2010/QTR4/20101215_10-K_edgar_data_47217_0001047469-10-010444_1.txt,742414,2010-12-15,48809,1375
0,0,308526,8315,2701,0,0,0,0,0,2.14479318065758,5.456259574969557,0,4.613426562438622,0,50863,INTEL CORP,intc,INTEL CORP,20101225,20110218,-0.04853437709247711,../Data/filtered_textdata/2011/QTR1/20110218_10-K_edgar_data_50863_0000950123-11-015783_1.txt,414019,2011-02-18,25457,1032
1,1,329185,10673,3407,0,0,0,0,0,2.379294336118849,5.725781491798205,0,4.797740637573507,0,66740,3M CO,mmm,3M CO,20101231,20110216,-0.01296647862760073,../Data/filtered_textdata/2011/QTR1/20110216_10-K_edgar_data_66740_0001104659-11-007845_1.txt,432278,2011-02-16,25848,1081
2,2,830914,14974,5279,0,0,0,0,0,2.124536801569425,5.253215142047519,0,4.69404926251544,0,4962,AMERICAN EXPRESS CO,axp,AMERICAN EXPRESS CO,20101231,20110225,0.007229958784164658,../Data/filtered_textdata/2011/QTR1/20110228_10-K_edgar_data_4962_0000950123-11-019072_1.txt,1092691,2011-02-28,68815,1558
3,3,219598,6629,2257,0,0,0,0,0,2.40228013029316,4.542810609585853,0,4.830967892042811,0,200406,JOHNSON & JOHNSON,jnj,JOHNSON & JOHNSON,20110102,20110224,0.01004180507155676,../Data/filtered_textdata/2011/QTR1/20110225_10-K_edgar_data_200406_0000950123-11-018128_1.txt,298536,2011-02-25,17192,930
4,4,176016,6228,2075,0,0,0,0,0,1.817213605804433,6.110630366770952,0,4.720961192837648,0,354950,HOME DEPOT INC,hd,HOME DEPOT INC,20110130,20110324,-0.000326035602933504,../Data/filtered_textdata/2011/QTR1/20110324_10-K_edgar_data_354950_0001193125-11-076501_1.txt,231321,2011-03-24,15023,896
5,5,453693,9019,3229,0,0,0,0,0,1.81671376665321,4.584679047234559,0,4.732110415825597,0,732717,AT&T INC,t,AT&T INC.,20101231,20110228,-0.01509991495706288,../Data/filtered_textdata/2011/QTR1/20110301_10-K_edgar_data_732717_0000732717-11-000014_1.txt,574588,2011-03-01,39632,1247
6,6,345043,9708,3157,0,0,0,0,0,1.81471898806957,5.041684634181401,0,4.917169757079201,0,101829,RAYTHEON TECHNOLOGIES CORP,rtx,UNITED TECHNOLOGIES CORP /DE/,20101231,20110210,-0.00726365977171094,../Data/filtered_textdata/2011/QTR1/20110210_10-K_edgar_data_101829_0001193125-11-029695_1.txt,447130,2011-02-10,27828,1041
7,7,356829,8221,3037,0,0,0,0,0,1.753988544060063,4.287887123394065,0,4.707452833241644,0,104169,WALMART INC,wmt,WAL MART STORES INC,20110131,20110330,-0.003863039663346684,../Data/filtered_textdata/2011/QTR1/20110330_10-K_edgar_data_104169_0001193125-11-083157_1.txt,464083,2011-03-30,30901,1151
8,8,890546,20522,7169,0,0,0,0,0,2.333417074288079,5.225435576113139,0,4.662858916195008,0,19617,JPMORGAN CHASE & CO,jpm,J P MORGAN CHASE & CO,20101231,20110228,-0.02253638745985754,../Data/filtered_textdata/2011/QTR1/20110228_10-K_edgar_data_19617_0000950123-11-019773_1.txt,1128125,2011-02-28,67669,1304
9,9,655159,14748,5417,0,0,0,0,0,1.656032690515449,5.014696394006738,0,4.727991253853324,0,21344,COCA-COLA CO,ko,COCA COLA CO,20101231,20110228,0.01609989029821116,../Data/filtered_textdata/2011/QTR1/20110228_10-K_edgar_data_21344_0001047469-11-001506_1.txt,852432,2011-02-28,55796,1307
10,10,1351968,30396,11060,0,0,0,0,0,2.33952225643642,5.125448681741158,0,4.800703314323196,0,70858,BANK OF AMERICA CORP,bac,BANK OF AMERICA CORP /DE/,20101231,20120130,-0.03506953414403917,../Data/filtered_textdata/2011/QTR1/20110225_10-K_edgar_data_70858_0000950123-11-018743_1.txt,1791618,2011-02-25,109766,1675
11,11,198912,5335,1774,0,0,0,0,0,1.502758227125737,5.319890939065373,0,4.781180648024857,0,63908,MCDONALD'S CORP,mcd,MCDONALDS CORP,20101231,20110225,-0.006033072413318252,../Data/filtered_textdata/2011/QTR1/20110225_10-K_edgar_data_63908_0001193125-11-046701_1.txt,259395,2011-02-25,15771,888
12,12,446219,13090,4382,0,0,0,0,0,1.350541073009165,4.665505524940753,0,4.814293464294892,0,51143,INTL BUSINESS MACHINES CORP,ibm,INTERNATIONAL BUSINESS MACHINES CORP,20101231,20110222,-0.007350372915723586,../Data/filtered_textdata/2011/QTR1/20110222_10-K_edgar_data_51143_0001047469-11-001117_1.txt,585042,2011-02-22,35023,1087
13,13,568986,13350,4910,0,0,0,0,0,2.188765444917454,4.653722354895648,0,4.866452081819125,0,18230,CATERPILLAR INC,cat,CATERPILLAR INC,20101231,20110222,-0.00948383421354844,../Data/filtered_textdata/2011/QTR1/20110222_10-K_edgar_data_18230_0001104659-11-008938_1.txt,779895,2011-02-22,48155,1316
14,14,751983,18451,6474,0,0,0,0,0,1.977683602368141,5.667984064250909,0,4.813516816659523,0,310158,MERCK & CO,mrk,MERCK & CO. INC.,20101231,20110228,0.006755791224775626,../Data/filtered_textdata/2011/QTR1/20110228_10-K_edgar_data_310158_0000950123-11-019286_1.txt,995691,2011-02-28,63003,1379
15,15,555476,13094,4152,0,0,0,0,0,2.421382260838884,5.32351254796454,0,4.772173951395934,0,78003,PFIZER INC,pfe,PFIZER INC,20101231,20110228,0.01778789050948448,../Data/filtered_textdata/2011/QTR1/20110228_10-K_edgar_data_78003_0001193125-11-048877_1.txt,724669,2011-02-28,45346,1355
16,16,294099,8844,2992,0,0,0,0,0,1.960453644757367,4.991778742780049,0,4.85661284202538,0,12927,BOEING CO,ba,BOEING CO,20101231,20110209,-0.01449273661175741,../Data/filtered_textdata/2011/QTR1/20110209_10-K_edgar_data_12927_0001193125-11-028490_1.txt,386057,2011-02-09,23719,1094
17,17,747085,15531,5347,0,0,0,0,0,3.998369343660824,5.689359967386872,0,4.809147982062782,0,86312,TRAVELERS COS INC,trv,"TRAVELERS COMPANIES, INC.",20101231,20110217,0.001263398875501153,../Data/filtered_textdata/2011/QTR1/20110217_10-K_edgar_data_86312_0001047469-11-001001_1.txt,962876,2011-02-17,61325,1304
18,18,543153,16165,5676,0,0,0,0,0,1.861169241729374,5.118215414755777,0,4.78093414666726,0,40545,GENERAL ELECTRIC CO,ge,GENERAL ELECTRIC CO,20101231,20110225,-0.0336940940386376,../Data/filtered_textdata/2011/QTR1/20110225_10-K_edgar_data_40545_0001193125-11-047479_1.txt,706014,2011-02-25,44918,1253
19,19,383339,9395,3168,0,0,0,0,0,1.361941477595905,5.883839979776275,0,4.785944511154649,0,732712,VERIZON COMMUNICATIONS INC,vz,VERIZON COMMUNICATIONS INC,20101231,20111110,-0.0246701425507423,../Data/filtered_textdata/2011/QTR1/20110228_10-K_edgar_data_732712_0001193125-11-049476_1.txt,494161,2011-02-28,31646,1194
20,20,384274,13679,4391,0,0,0,0,0,2.002214138858137,3.906373556855923,0,4.652917918709472,0,93410,CHEVRON CORP,cvx,CHEVRON CORP,20101231,20110224,-0.0008950686613657683,../Data/filtered_textdata/2011/QTR1/20110224_10-K_edgar_data_93410_0000950123-11-017688_1.txt,504079,2011-02-24,31615,1094
21,21,440784,10065,3474,0,0,0,0,0,1.857837340691105,5.494678754434371,0,4.882722375509132,0,1103982,MONDELEZ INTERNATIONAL INC,mdlz,KRAFT FOODS INC,20101231,20110228,-0.01032812112691772,../Data/filtered_textdata/2011/QTR1/20110228_10-K_edgar_data_1103982_0001193125-11-048979_1.txt,576775,2011-02-28,38055,1198
22,22,247398,7529,2656,0,0,0,0,0,1.588265048052605,4.638340920586749,0,4.973545776428931,0,34088,EXXON MOBIL CORP,xom,EXXON MOBIL CORP,20101231,20120308,-0.01243715709657453,../Data/filtered_textdata/2011/QTR1/20110225_10-K_edgar_data_34088_0001193125-11-047394_1.txt,328559,2011-02-25,19770,975
23,23,268785,5053,1863,0,0,0,0,0,1.894977168949772,5.680365296803652,0,4.712146118721461,0,80424,PROCTER & GAMBLE CO,pg,PROCTER & GAMBLE CO,20110630,20110810,0.04661360439642252,../Data/filtered_textdata/2011/QTR3/20110810_10-K_edgar_data_80424_0000080424-11-000014_1.txt,347959,2011-08-10,21900,1031
24,24,644166,12171,4202,0,0,0,0,0,1.838577879721884,5.530069529066017,0,4.605942226363703,0,858877,CISCO SYSTEMS INC,csco,CISCO SYSTEMS INC,20110730,20110914,0.001576295839525624,../Data/filtered_textdata/2011/QTR3/20110914_10-K_edgar_data_858877_0001193125-11-247394_1.txt,831803,2011-09-14,55804,1246
25,25,255957,5618,2003,0,0,0,0,0,2.20917360542908,5.934446743995764,0,4.853058670645424,0,789019,MICROSOFT CORP,msft,MICROSOFT CORP,20110630,20110728,-0.04313836814472247,../Data/filtered_textdata/2011/QTR3/20110728_10-K_edgar_data_789019_0001193125-11-200680_1.txt,328782,2011-07-28,20777,1027
26,26,403461,8831,3042,0,0,0,0,0,2.224872124768569,4.948693005303292,0,4.872783757492076,0,47217,HP INC,hpq,HEWLETT PACKARD CO,20111031,20111214,-0.05793007022363621,../Data/filtered_textdata/2011/QTR4/20111214_10-K_edgar_data_47217_0001047469-11-010094_1.txt,523595,2011-12-14,31867,1217
0,0,1347146,19577,6881,0,0,0,0,0,2.656272820213232,6.061961442967722,0,4.741465240251205,0,19617,JPMORGAN CHASE & CO,jpm,JPMORGAN CHASE & CO,20111231,20120229,0.01082750754348586,../Data/filtered_textdata/2012/QTR1/20120229_10-K_edgar_data_19617_0000019617-12-000163_1.txt,1730322,2012-02-29,109552,1436
1,1,341839,12198,3924,0,0,0,0,0,1.949791093811377,3.942434739135093,0,4.67924865193015,0,93410,CHEVRON CORP,cvx,CHEVRON CORP,20111231,20120223,-0.006743733483938929,../Data/filtered_textdata/2012/QTR1/20120223_10-K_edgar_data_93410_0000950123-12-002976_1.txt,448448,2012-02-23,28003,1105
2,2,146633,5675,1865,0,0,0,0,0,1.547059776445812,5.726551109671147,0,4.708812570873158,0,354950,HOME DEPOT INC,hd,HOME DEPOT INC,20120129,20120322,-0.01108518984716781,../Data/filtered_textdata/2012/QTR1/20120322_10-K_edgar_data_354950_0000354950-12-000003_1.txt,195031,2012-03-22,12346,784
3,3,930852,21967,7789,0,0,0,0,0,1.727994002623852,5.288936090460424,0,4.91541200724683,0,310158,MERCK & CO,mrk,MERCK & CO. INC.,20111231,20120828,-0.03009991921546386,../Data/filtered_textdata/2012/QTR1/20120228_10-K_edgar_data_310158_0001193125-12-084319_1.txt,1213158,2012-02-28,80035,1373
4,4,333272,7057,2371,0,0,0,0,0,1.650099403578529,8.294234592445328,0,4.908429423459244,0,731766,UNITEDHEALTH GROUP INC,unh,UNITEDHEALTH GROUP INC,20111231,20120208,0.00773723171654829,../Data/filtered_textdata/2012/QTR1/20120209_10-K_edgar_data_731766_0000731766-12-000009_1.txt,434279,2012-02-09,25150,1075
5,5,780838,14084,5029,0,0,0,0,0,2.191767815036952,5.323542909591557,0,4.821984143311547,0,4962,AMERICAN EXPRESS CO,axp,AMERICAN EXPRESS CO,20111231,20120224,-0.02659021201120003,../Data/filtered_textdata/2012/QTR1/20120224_10-K_edgar_data_4962_0001193125-12-077400_1.txt,996728,2012-02-24,63191,1492
6,6,606923,13900,5052,0,0,0,0,0,1.691968941939969,4.954224127940665,0,4.644010507204388,0,21344,COCA-COLA CO,ko,COCA COLA CO,20111231,20120223,-0.02308724090581912,../Data/filtered_textdata/2012/QTR1/20120223_10-K_edgar_data_21344_0000021344-12-000007_1.txt,786512,2012-02-23,51774,1258
